TagName,Average,Max,Min,Call 
TimeFunc,0.0205725§Á, 0.0228602§Á, 0.0200594§Á, 196
TagName,Average,Max,Min,Call 
TimeFunc,0.0205435§Á, 0.0213243§Á, 0.0200322§Á, 196
TagName,Average,Max,Min,Call 
TimeFunc,0.0205413§Á, 0.0213574§Á, 0.0200441§Á, 196
TagName,Average,Max,Min,Call 
TimeFunc,0.0205143§Á, 0.0226458§Á, 0.0200147§Á, 196
TagName,Average,Max,Min,Call 
TimeFunc,0.0205254§Á, 0.0218947§Á, 0.0200515§Á, 196
TagName,Average,Max,Min,Call 
TimeFunc,0.0204940§Á, 0.0211895§Á, 0.0200353§Á, 196
FunctionName,Average,Max,Min,Call 
TimeFunc,0.0204488§Á, 0.0217152§Á, 0.0200776§Á, 196
FunctionName,Average,Max,Min,Call 
TimeFunc,0.0204395§Á, 0.0210751§Á, 0.0200249§Á, 196
